"order_id";"customer_id";"customer_city";"product_id";"price";"freight_value";"product_category_name";"product_weight_kg";"product_length_cm";"product_height_cm";"product_width_cm";"product_volume_m3"
"026a8d09914c519feb34944477b6bd41";"47a9d5ffbfeea9fd0290d4c461d7a169";"belo horizonte";"d2f2c2b94c6ac44ece0bd0dd202c7939";35.99;19.59;"moveis_decoracao";1.05;32;12;32;0.0123
"04e83658486074318f1a806c19265817";"91fd140e38421fcc6f81f31e07d21275";"sao paulo";"1dfb36d969d347f56f43590ec42c7b8c";159.99;14.06;"esporte_lazer";0.9;26;6;13;0.002
"01d0cbd002be92b5a970cb8f233349c2";"034c3cb26461c58520139e4efb33ed90";"alagoinhas";"e2acf075e3634e6f0c26e4e88c1bf9d7";329.9;46.39;"moveis_sala";6.75;54;18;53;0.0515
"00b47ee856118583dbec7d1f9b18d847";"";"";"0e40b1ed4cfd3da1962ec91913e54ba8";13.65;15.23;"eletronicos";0.175;22;11;15;0.0036
"047d317db3c34ff477eee816660e44f0";"";"";"53b36df67ebb7c41585e8d54d6772e08";134.9;12.44;"relogios_presentes";0.584;16;11;13;0.0023
"0489818f0b5863c095a7445ee35fd7f2";"";"";"599e5320aef0c7dd9e3fed9b2f673d41";81.4;23.5;"informatica_acessorios";0.7;20;20;20;0.008
"04993613aee4046caf92ea17b316dcfb";"";"";"96d1c06692244e2fed6e1f9aa9552770";62.0;10.54;"cama_mesa_banho";0.625;70;15;50;0.0525
"04993613aee4046caf92ea17b316dcfb";"";"";"96d1c06692244e2fed6e1f9aa9552770";62.0;10.54;"cama_mesa_banho";0.625;70;15;50;0.0525
"04993613aee4046caf92ea17b316dcfb";"";"";"96d1c06692244e2fed6e1f9aa9552770";62.0;10.54;"cama_mesa_banho";0.625;70;15;50;0.0525
"04993613aee4046caf92ea17b316dcfb";"";"";"96d1c06692244e2fed6e1f9aa9552770";62.0;10.54;"cama_mesa_banho";0.625;70;15;50;0.0525
"01f66e58769f84129811d43eefd187fb";"e41819d1c95c12c9ce495b630eab8aee";"sao paulo";"96bd76ec8810374ed1b65e291975717f";79.8;7.82;"esporte_lazer";0.154;18;9;15;0.0024
"03e5d6a8dd520898f86f8429ccd07c21";"";"";"2efbce46d36d9af306d4300db163b276";119.9;15.94;"beleza_saude";0.27;16;16;15;0.0038
"02ea54f5cf3a07904182167e104f97ff";"";"";"601a360bd2a916ecef0e88de72a6531a";129.99;13.49;"cool_stuff";1.6;42;25;15;0.0158
"01e9b3d727e46edf036b0bd549c38bb4";"14615837f83937b2dea94361cfb6770d";"laranjeiras do sul";"af56e0203193f066ed64cbbbbf95ae6a";99.9;16.46;"esporte_lazer";0.75;25;7;25;0.0044
"03cf8d977a18ea1308ec10c0f7de2f4e";"";"";"d696750e550fd0f733979dd7e5dff921";169.99;16.4;"utilidades_domesticas";0.95;53;5;13;0.0034
"00fb055886536063afa0dbee07a0944f";"";"";"5d422bd54b54307ff7a5e770f40946e4";11.9;16.79;"brinquedos";0.3;16;5;16;0.0013
